Symbol         | Company Name
3MINDIA        | 3M India Limited
AARTIDRUGS     | Aarti Drugs Limited
AARTIIND       | Aarti Industries Limited
AAVAS          | Aavas Financiers Limited
ABB            | ABB India Limited
ABBOTINDIA     | Abbott India Limited
ABCAPITAL      | Aditya Birla Capital Limited
ABFRL          | Aditya Birla Fashion and Retail Limited
ACC            | ACC Limited
ADANIENT       | Adani Enterprises Limited
ADANIGREEN     | Adani Green Energy Limited
ADANIPORTS     | Adani Ports and Special Economic Zone Limited
ADANIPOWER     | Adani Power Limited
ADANITRANS     | Adani Transmission Limited
ADVENZYMES     | Advanced Enzyme Technologies Limited
AEGISCHEM      | Aegis Logistics Limited
AFFLE          | Affle (India) Limited
AJANTPHARM     | Ajanta Pharma Limited
AKZOINDIA      | Akzo Nobel India Limited
ALEMBICLTD     | Alembic Limited
ALKEM          | Alkem Laboratories Limited
ALKYLAMINE     | Alkyl Amines Chemicals Limited
ALLCARGO       | Allcargo Logistics Limited
ALOKINDS       | Alok Industries Limited
AMARAJABAT     | Amara Raja Batteries Limited
AMBER          | Amber Enterprises India Limited
AMBUJACEM      | Ambuja Cements Limited
ANGELONE       | Angel One Limited
ANURAS         | Anupam Rasayan India Limited
APARINDS       | Apar Industries Limited
APLAPOLLO      | APL Apollo Tubes Limited
APLLTD         | Alembic Pharmaceuticals Limited
APOLLOHOSP     | Apollo Hospitals Enterprise Limited
APOLLOTYRE     | Apollo Tyres Limited
APTUS          | Aptus Value Housing Finance India Limited
ASHOKLEY       | Ashok Leyland Limited
ASIANPAINT     | Asian Paints Limited
ASTERDM        | Aster DM Healthcare Limited
ASTRAL         | Astral Limited
ASTRAZEN       | AstraZeneca Pharma India Limited
ATGL           | Adani Total Gas Limited
ATUL           | Atul Limited
AUBANK         | AU Small Finance Bank Limited
AUROPHARMA     | Aurobindo Pharma Limited
AVANTIFEED     | Avanti Feeds Limited
AWL            | Adani Wilmar Limited
AXISBANK       | Axis Bank Limited
BAJAJ-AUTO     | Bajaj Auto Limited
BAJAJCON       | Bajaj Consumer Care Limited
BAJAJELEC      | Bajaj Electricals Limited
BAJAJFINSV     | Bajaj Finserv Limited
BAJAJHLDNG     | Bajaj Holdings & Investment Limited
BAJFINANCE     | Bajaj Finance Limited
BALAMINES      | Balaji Amines Limited
BALKRISIND     | Balkrishna Industries Limited
BALRAMCHIN     | Balrampur Chini Mills Limited
BANDHANBNK     | Bandhan Bank Limited
BANKBARODA     | Bank of Baroda
BANKINDIA      | Bank of India
BATAINDIA      | Bata India Limited
BAYERCROP      | Bayer CropScience Limited
BBD            | Bombay Burmah Trading Corporation Limited
BBL            | Bharat Bijlee Limited
BDL            | Bharat Dynamics Limited
BEL            | Bharat Electronics Limited
BEML           | BEML Limited
BERGEPAINT     | Berger Paints India Limited
BHARATFORG     | Bharat Forge Limited
BHARTIARTL     | Bharti Airtel Limited
BHEL           | Bharat Heavy Electricals Limited
BIOCON         | Biocon Limited
BIRLACORPN     | Birla Corporation Limited
BLS            | BLS International Services Limited
BLUEDART       | Blue Dart Express Limited
BLUESTARCO     | Blue Star Limited
BORORENEW      | Borosil Renewables Limited
BOSCHLTD       | Bosch Limited
BPCL           | Bharat Petroleum Corporation Limited
BRIGADE        | Brigade Enterprises Limited
BRITANNIA      | Britannia Industries Limited
BSE            | BSE Limited
BSOFT          | Birlasoft Limited
CAMPUS         | Campus Activewear Limited
CANBK          | Canara Bank
CANFINHOME     | Can Fin Homes Limited
CAPLIPOINT     | Caplin Point Laboratories Limited
CARBORUNIV     | Carborundum Universal Limited
CASTROLIND     | Castrol India Limited
CCL            | CCL Products (India) Limited
CEATLTD        | CEAT Limited
CENTRALBK      | Central Bank of India
CENTURYPLY     | Century Plyboards (India) Limited
CERA           | Cera Sanitaryware Limited
CESC           | CESC Limited
CGCL           | Capri Global Capital Limited
CGPOWER        | CG Power and Industrial Solutions Limited
CHAMBLFERT     | Chambal Fertilisers and Chemicals Limited
CHEMPLASTS     | Chemplast Sanmar Limited
CHOLAHLDNG     | Cholamandalam Financial Holdings Limited
CHOLAFIN       | Cholamandalam Investment and Finance Company Limited
CIPLA          | Cipla Limited
CAMS           | Computer Age Management Services Limited
CLEAN          | Clean Science and Technology Limited
COALINDIA      | Coal India Limited
COCHINSHIP     | Cochin Shipyard Limited
COFORGE        | Coforge Limited
COLPAL         | Colgate Palmolive (India) Limited
CONCOR         | Container Corporation of India Limited
COROMANDEL     | Coromandel International Limited
CREDITACC      | CreditAccess Grameen Limited
CROMPTON       | Crompton Greaves Consumer Electricals Limited
CSBBANK        | CSB Bank Limited
CUB            | City Union Bank Limited
CUMMINSIND     | Cummins India Limited
CYIENT         | Cyient Limited
DABUR          | Dabur India Limited
DALBHARAT      | Dalmia Bharat Limited
DATAPATTNS     | Data Patterns (India) Limited
DBCORP         | D. B. Corp Limited
DCBBANK        | DCB Bank Limited
DCMSHRIRAM     | DCM Shriram Limited
DEEPAKNTR      | Deepak Nitrite Limited
DELHIVERY      | Delhivery Limited
DELTACORP      | Delta Corp Limited
DEVYANI        | Devyani International Limited
DHANI          | Dhani Services Limited
DIVISLAB       | Divi's Laboratories Limited
DIXON          | Dixon Technologies (India) Limited
DLF            | DLF Limited
DMART          | Avenue Supermarts Limited
DMCC           | DMCC Speciality Chemicals Limited
DODLA          | Dodla Dairy Limited
DOLAT          | Dolat Algotech Limited
DRREDDY        | Dr. Reddy's Laboratories Limited
EASEMYTRIP     | Easy Trip Planners Limited
ECLERX         | eClerx Services Limited
EDELWEISS      | Edelweiss Financial Services Limited
EICHERMOT      | Eicher Motors Limited
EIDPARRY       | EID Parry (India) Limited
EIHOTEL        | EIH Limited
ELGIEQUIP      | Elgi Equipments Limited
EMAMILTD       | Emami Limited
ENDURANCE      | Endurance Technologies Limited
ENGINERSIN     | Engineers India Limited
EPL            | EPL Limited
EQUITASBNK     | Equitas Small Finance Bank Limited
ERIS           | Eris Lifesciences Limited
ESABINDIA      | ESAB India Limited
ESCORTS        | Escorts Kubota Limited
EXIDEIND       | Exide Industries Limited
FDC            | FDC Limited
FEDERALBNK     | The Federal Bank Limited
FACT           | The Fertilisers and Chemicals Travancore Limited
FINEORG        | Fine Organic Industries Limited
FINCABLES      | Finolex Cables Limited
FINPIPE        | Finolex Industries Limited
FLUOROCHEM     | Gujarat Fluorochemicals Limited
FORTIS         | Fortis Healthcare Limited
FSL            | Firstsource Solutions Limited
GAIL           | GAIL (India) Limited
GALAXYSURF     | Galaxy Surfactants Limited
GARFIBRES      | Garware Technical Fibres Limited
GICRE          | General Insurance Corporation of India
GILLETTE       | Gillette India Limited
GLAND          | Gland Pharma Limited
GLAXO          | GlaxoSmithKline Pharmaceuticals Limited
GLENMARK       | Glenmark Pharmaceuticals Limited
GMDCLTD        | Gujarat Mineral Development Corporation Limited
GMMPFAUDLR     | GMM Pfaudler Limited
GMRINFRA       | GMR Airports Infrastructure Limited
GNFC           | Gujarat Narmada Valley Fertilizers & Chemicals Limited
GODFRYPHLP     | Godfrey Phillips India Limited
GODREJAGRO     | Godrej Agrovet Limited
GODREJCP       | Godrej Consumer Products Limited
GODREJIND      | Godrej Industries Limited
GODREJPROP     | Godrej Properties Limited
GPPL           | Gujarat Pipavav Port Limited
GRANULES       | Granules India Limited
GRASIM         | Grasim Industries Limited
GREATSHIP      | The Great Eastern Shipping Company Limited
GRINDWELL      | Grindwell Norton Limited
GRSE           | Garden Reach Shipbuilders & Engineers Limited
GSFC           | Gujarat State Fertilizers & Chemicals Limited
GSPL           | Gujarat State Petronet Limited
GUJGASLTD      | Gujarat Gas Limited
HAL            | Hindustan Aeronautics Limited
HAPPSTMNDS     | Happiest Minds Technologies Limited
HATHWAY        | Hathway Cable & Datacom Limited
HATSUN         | Hatsun Agro Product Limited
HAVELLS        | Havells India Limited
HCLTECH        | HCL Technologies Limited
HDFC           | Housing Development Finance Corporation Limited
HDFCAMC        | HDFC Asset Management Company Limited
HDFCBANK       | HDFC Bank Limited
HDFCLIFE       | HDFC Life Insurance Company Limited
HEG            | HEG Limited
HEIDELBERG     | HeidelbergCement India Limited
HEROMOTOCO     | Hero MotoCorp Limited
HFCL           | HFCL Limited
HGS            | Hinduja Global Solutions Limited
HIKAL          | Hikal Limited
HIL            | HIL Limited
HIMATSEIDE     | Himatsingka Seide Limited
HINDALCO       | Hindalco Industries Limited
HINDCOPPER     | Hindustan Copper Limited
HINDPETRO      | Hindustan Petroleum Corporation Limited
HINDUNILVR     | Hindustan Unilever Limited
HINDZINC       | Hindustan Zinc Limited
HOMEFIRST      | Home First Finance Company India Limited
HONAUT         | Honeywell Automation India Limited
HUDCO          | Housing and Urban Development Corporation Limited
IBULHSGFIN     | Indiabulls Housing Finance Limited
ICICIBANK      | ICICI Bank Limited
ICICIGI        | ICICI Lombard General Insurance Company Limited
ICICIPRULI     | ICICI Prudential Life Insurance Company Limited
IDBI           | IDBI Bank Limited
IDFC           | IDFC Limited
IDFCFIRSTB     | IDFC First Bank Limited
IEX            | Indian Energy Exchange Limited
IGL            | Indraprastha Gas Limited
IIFL           | IIFL Finance Limited
IIFLWAM        | 360 ONE WAM LIMITED
IMAGICAA       | Imagicaaworld Entertainment Limited
INDHOTEL       | The Indian Hotels Company Limited
INDIACEM       | The India Cements Limited
INDIAMART      | IndiaMART InterMESH Limited
INDIANB        | Indian Bank
INDIGO         | InterGlobe Aviation Limited
INDIGOPNTS     | Indigo Paints Limited
INDOCO         | Indoco Remedies Limited
INDSTAR        | Indo Star Capital Finance Limited
INDUSINDBK     | IndusInd Bank Limited
INDUSTOWER     | Indus Towers Limited
INFY           | Infosys Limited
INGERRAND      | Ingersoll Rand (India) Limited
INOXLEISUR     | INOX Leisure Limited
INTELLECT      | Intellect Design Arena Limited
IOB            | Indian Overseas Bank
IOC            | Indian Oil Corporation Limited
IPCALAB        | IPCA Laboratories Limited
IRB            | IRB Infrastructure Developers Limited
IRCON          | Ircon International Limited
IRCTC          | Indian Railway Catering and Tourism Corporation Limited
ISEC           | ICICI Securities Limited
ITC            | ITC Limited
ITI            | ITI Limited
J&KBANK        | The Jammu & Kashmir Bank Limited
JAGRAN         | Jagran Prakashan Limited
JAICORPLTD     | Jai Corp Limited
JAMNAAUTO      | Jamna Auto Industries Limited
JBCHEPHARM     | JB Chemicals & Pharmaceuticals Limited
JBMA           | JBM Auto Limited
JINDALPOLY     | Jindal Poly Films Limited
JINDALSAW      | Jindal Saw Limited
JINDALSTEL     | Jindal Steel & Power Limited
JKCEMENT       | JK Cement Limited
JKIL           | J.Kumar Infraprojects Limited
JKLAKSHMI      | JK Lakshmi Cement Limited
JKPAPER        | JK Paper Limited
JKTYRE         | JK Tyre & Industries Limited
JMFINANCIL     | JM Financial Limited
JSL            | Jindal Stainless Limited
JSWENERGY      | JSW Energy Limited
JSWSTEEL       | JSW Steel Limited
JUBLFOOD       | Jubilant Foodworks Limited
JUBLINGREA     | Jubilant Ingrevia Limited
JUBLPHARMA     | Jubilant Pharmova Limited
JUSTDIAL       | Just Dial Limited
JYOTHYLAB      | Jyothy Labs Limited
KAJARIACER     | Kajaria Ceramics Limited
KALPATPOWR     | Kalpataru Power Transmission Limited
KALYANKJIL     | Kalyan Jewellers India Limited
KANSAINER      | Kansai Nerolac Paints Limited
KARURVYSYA     | The Karur Vysya Bank Limited
KEC            | KEC International Limited
KEI            | KEI Industries Limited
KIMS           | Krishna Institute of Medical Sciences Limited
KNRCON         | KNR Constructions Limited
KOTAKBANK      | Kotak Mahindra Bank Limited
KPITTECH       | KPIT Technologies Limited
KPRMILL        | K.P.R. Mill Limited
KRBL           | KRBL Limited
KSB            | KSB Limited
KSCL           | Kaveri Seed Company Limited
KSL            | Kalyani Steels Limited
KTKBANK        | The Karnataka Bank Limited
L&TFH          | L&T Finance Holdings Limited
LALPATHLAB     | Dr. Lal PathLabs Limited
LAOPALA        | La Opala RG Limited
LAURUSLABS     | Laurus Labs Limited
LAXMIMACH      | Lakshmi Machine Works Limited
LCHFL          | LIC Housing Finance Limited
LEMONTREE      | Lemon Tree Hotels Limited
LICHSGFIN      | LIC Housing Finance Limited
LICI           | Life Insurance Corporation of India
LINDEINDIA     | Linde India Limited
LT             | Larsen & Toubro Limited
LTIM           | LTIMindtree Limited
LTTS           | L&T Technology Services Limited
LUPIN          | Lupin Limited
LUXIND         | Lux Industries Limited
M&M            | Mahindra & Mahindra Limited
M&MFIN         | Mahindra & Mahindra Financial Services Limited
MAHABANK       | Bank of Maharashtra
MAHLOG         | Mahindra Logistics Limited
MAHSEAMLES     | Maharashtra Seamless Limited
MANAPPURAM     | Manappuram Finance Limited
MARICO         | Marico Limited
MARUTI         | Maruti Suzuki India Limited
MASTEK         | Mastek Limited
MATRIMONY      | Matrimony.com Limited
MAXHEALTH      | Max Healthcare Institute Limited
MAZDOCK        | Mazagon Dock Shipbuilders Limited
MCX            | Multi Commodity Exchange of India Limited
MEDPLUS        | Medplus Health Services Limited
METROBRAND     | Metro Brands Limited
METROPOLIS     | Metropolis Healthcare Limited
MFSL           | Max Financial Services Limited
MGL            | Mahanagar Gas Limited
MHRIL          | Mahindra Holidays & Resorts India Limited
MIDHANI        | Mishra Dhatu Nigam Limited
MINDACORP      | Minda Corporation Limited
MINDAIND       | Minda Industries Limited
MMTC           | MMTC Limited
MOIL           | MOIL Limited
MOL            | Meghmani Organics Limited
MOTILALOFS     | Motilal Oswal Financial Services Limited
MPHASIS        | Mphasis Limited
MRF            | MRF Limited
MRPL           | Mangalore Refinery and Petrochemicals Limited
MSUMI          | Motherson Sumi Systems Limited
MTARTECH       | MTAR Technologies Limited
MTNL           | Mahanagar Telephone Nigam Limited
MUTHOOTFIN     | Muthoot Finance Limited
NAM-INDIA      | Nippon Life India Asset Management Limited
NATCOPHARM     | Natco Pharma Limited
NATIONALUM     | National Aluminium Company Limited
NAUKRI         | Info Edge (India) Limited
NAVINFLUOR     | Navin Fluorine International Limited
NBCC           | NBCC (India) Limited
NCC            | NCC Limited
NESCO          | Nesco Limited
NESTLEIND      | Nestle India Limited
NETWORK18      | Network18 Media & Investments Limited
NFL            | National Fertilizers Limited
NH             | Narayana Hrudayalaya Limited
NHPC           | NHPC Limited
NLCINDIA       | NLC India Limited
NMDC           | NMDC Limited
NOCIL          | NOCIL Limited
NOUKRI         | Info Edge (India) Limited
NTPC           | NTPC Limited
NUVOCO         | Nuvoco Vistas Corporation Limited
NYKAA          | FSN E-Commerce Ventures Limited
OBEROIRLTY     | Oberoi Realty Limited
OFSS           | Oracle Financial Services Software Limited
OIL            | Oil India Limited
OLECTRA        | Olectra Greentech Limited
OMAXE          | Omaxe Limited
ONGC           | Oil and Natural Gas Corporation Limited
ORIENTELEC     | Orient Electric Limited
PAGEIND        | Page Industries Limited
PAISALO        | Paisalo Digital Limited
PATANJALI      | Patanjali Foods Limited
PAYTM          | One 97 Communications Limited
PCBL           | Phillips Carbon Black Limited
PEL            | Piramal Enterprises Limited
PERSISTENT     | Persistent Systems Limited
PETRONET       | Petronet LNG Limited
PFC            | Power Finance Corporation Limited
PFIZER         | Pfizer Limited
PGHH           | Procter & Gamble Hygiene and Health Care Limited
PGHL           | Procter & Gamble Health Limited
PHOENIXLTD     | The Phoenix Mills Limited
PIDILITIND     | Pidilite Industries Limited
PIIND          | PI Industries Limited
PNB            | Punjab National Bank
PNBHOUSING     | PNB Housing Finance Limited
POLYCAB        | Polycab India Limited
POLYMED        | Poly Medicure Limited
POLYPLEX       | Polyplex Corporation Limited
POONAWALLA     | Poonawalla Fincorp Limited
POWERGRID      | Power Grid Corporation of India Limited
PRAJIND        | Praj Industries Limited
PRESTIGE       | Prestige Estates Projects Limited
PRINCEPIPE     | Prince Pipes and Fittings Limited
PRSMJOHNSN     | Prism Johnson Limited
PRIVISCL       | Privi Speciality Chemicals Limited
PSB            | Punjab & Sind Bank
PSPPROJECT     | PSP Projects Limited
PTC            | PTC India Limited
PVR            | PVR Limited
QUESS          | Quess Corp Limited
RADICO         | Radico Khaitan Limited
RAIN           | Rain Industries Limited
RAJESHEXPO     | Rajesh Exports Limited
RALLIS         | Rallis India Limited
RAMCOCEM       | The Ramco Cements Limited
RAMCOIND       | Ramco Industries Limited
RAMCOSYS       | Ramco Systems Limited
RATNAMANI      | Ratnamani Metals & Tubes Limited
RAYMOND        | Raymond Limited
RBLBANK        | RBL Bank Limited
RCF            | Rashtriya Chemicals and Fertilizers Limited
RECLTD         | REC Limited
REDINGTON      | Redington (India) Limited
RELAXO         | Relaxo Footwears Limited
RELIANCE       | Reliance Industries Limited
RENUKA         | Shree Renuka Sugars Limited
REPCOHOME      | Repco Home Finance Limited
RHIM           | RHI Magnesita India Limited
RITES          | RITES Limited
RKFORGE        | Ramkrishna Forgings Limited
ROSSARI        | Rossari Biotech Limited
ROUTE          | Route Mobile Limited
RVNL           | Rail Vikas Nigam Limited
SAFARI         | Safari Industries (India) Limited
SAGARCEM       | Sagar Cements Limited
SAIL           | Steel Authority of India Limited
SANOFI         | Sanofi India Limited
SAPPHIRE       | Sapphire Foods India Limited
SBICARD        | SBI Cards and Payment Services Limited
SBILIFE        | SBI Life Insurance Company Limited
SBIN           | State Bank of India
SCHAEFFLER     | Schaeffler India Limited
SCI            | Shipping Corporation of India Limited
SEQUENT        | Sequent Scientific Limited
SFL            | Sheela Foam Limited
SHARDACROP     | Sharda Cropchem Limited
SHILPAMED      | Shilpa Medicare Limited
SHOPERSTOP     | Shoppers Stop Limited
SHREECEM       | Shree Cement Limited
SHRIRAMFIN     | Shriram Finance Limited
SHYAMMETL      | Shyam Metalics and Energy Limited
SIEMENS        | Siemens Limited
SIS            | SIS Limited
SJVN           | SJVN Limited
SKFINDIA       | SKF India Limited
SOBHA          | Sobha Limited
SOLARA         | Solara Active Pharma Sciences Limited
SOLARINDS      | Solar Industries India Limited
SONACOMS       | Sona BLW Precision Forgings Limited
SONATSOFTW     | Sonata Software Limited
SPARC          | Sun Pharma Advanced Research Company Limited
SRF            | SRF Limited
SRTRANSFIN     | Shriram Transport Finance Company Limited
STAR           | Strides Pharma Science Limited
STARCEMENT     | Star Cement Limited
STLTECH        | Sterlite Technologies Limited
SUBEXLTD       | Subex Limited
SUDARSCHEM     | Sudarshan Chemical Industries Limited
SUMICHEM       | Sumitomo Chemical India Limited
SUNDARMFIN     | Sundaram Finance Limited
SUNDRMFAST     | Sundram Fasteners Limited
SUNPHARMA      | Sun Pharmaceutical Industries Limited
SUNTECK        | Sunteck Realty Limited
SUNTV          | Sun TV Network Limited
SUPRAJIT       | Suprajit Engineering Limited
SUPREMEIND     | Supreme Industries Limited
SURYAROSNI     | Surya Roshni Limited
SUVENPHAR      | Suven Pharmaceuticals Limited
SUZLON         | Suzlon Energy Limited
SWANENERGY     | Swan Energy Limited
SYMPHONY       | Symphony Limited
SYNGENE        | Syngene International Limited
TATACHEM       | Tata Chemicals Limited
TATACOFFEE     | Tata Coffee Limited
TACO           | Tata Consumer Products Limited
TATACOMM       | Tata Communications Limited
TATACONSUM     | Tata Consumer Products Limited
TATAELXSI      | Tata Elxsi Limited
TATAINVEST     | Tata Investment Corporation Limited
TATAMETALI     | Tata Metaliks Limited
TATAMOTORS     | Tata Motors Limited
TATAPOWER      | Tata Power Company Limited
TATASTEEL      | Tata Steel Limited
TCI            | Transport Corporation of India Limited
TCIEXP         | TCI Express Limited
TCNSBRANDS     | TCNS Clothing Co. Limited
TCS            | Tata Consultancy Services Limited
TEAMLEASE      | TeamLease Services Limited
TECHM          | Tech Mahindra Limited
TEJASNET       | Tejas Networks Limited
THERMAX        | Thermax Limited
TIMKEN         | Timken India Limited
TITAN          | Titan Company Limited
TORNTPHARM     | Torrent Pharmaceuticals Limited
TORNTPOWER     | Torrent Power Limited
TRENT          | Trent Limited
TRIDENT        | Trident Limited
TRITURBINE     | Triveni Turbine Limited
TIINDIA        | Tube Investments of India Limited
TTKPRESTIG     | TTK Prestige Limited
TV18BRDCST     | TV18 Broadcast Limited
TVSMOTOR       | TVS Motor Company Limited
UBL            | United Breweries Limited
UCOBANK        | UCO Bank
UFLEX          | Uflex Limited
UJJIVANSFB     | Ujjivan Small Finance Bank Limited
ULTRACEMCO     | UltraTech Cement Limited
UNIONBANK      | Union Bank of India
UPL            | UPL Limited
UTIAMC         | UTI Asset Management Company Limited
VAIBHAVGBL     | Vaibhav Global Limited
VAKRANGEE      | Vakrangee Limited
VARROC         | Varroc Engineering Limited
VBL            | Varun Beverages Limited
VEDL           | Vedanta Limited
VENKEYS        | Venky's (India) Limited
VESUVIUS       | Vesuvius India Limited
VGUARD         | V-Guard Industries Limited
VINATIORGA     | Vinati Organics Limited
VIPIND         | VIP Industries Limited
VOLTAS         | Voltas Limited
VRLLOG         | VRL Logistics Limited
VSTIND         | VST Industries Limited
WABAG          | VA Tech Wabag Limited
WELCORP        | Welspun Corp Limited
WELSPUNIND     | Welspun India Limited
WESTLIFE       | Westlife Development Limited
WHIRLPOOL      | Whirlpool of India Limited
WIPRO          | Wipro Limited
WOCKPHARMA     | Wockhardt Limited
WONDERLA       | Wonderla Holidays Limited
YESBANK        | Yes Bank Limited
ZEEL           | Zee Entertainment Enterprises Limited
ZENSARTECH     | Zensar Technologies Limited
ZFCVINDIA      | ZF Commercial Vehicle Control Systems India Limited
ZOMATO         | Zomato Limited
ZYDUSLIFE      | Zydus Lifesciences Limited
ZYDUSWELL      | Zydus Wellness Limited